Disease,All Symptoms
dimorphic hemmorhoids(piles),"irritation_in_anus, nan, pain_in_anal_region, constipation,  irritation_in_anus, bloody_stool,  pain_in_anal_region,  pain_during_bowel_movements, pain_during_bowel_movements,  bloody_stool,  constipation, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus"
drug reaction,"stomach_pain, nan, itching,  spotting_ urination, burning_micturition,  skin_rash, skin_rash, spotting_ urination,  stomach_pain,  burning_micturition, itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination"
fungal infection,"nodal_skin_eruptions, nan, skin_peeling, itching,  dischromic _patches, family_history, red_sore_around_nose, dischromic _patches, skin_rash,  skin_rash, nodal_skin_eruptions, red_spots_over_body, itching, skin_rash, nodal_skin_eruptions, red_spots_over_body, dischromic _patches, family_history, skin_peeling, red_sore_around_nose, itching, skin_rash, nodal_skin_eruptions, red_spots_over_body, dischromic _patches, family_history, skin_peeling, red_sore_around_nose"
gerd,"acidity, stomach_pain, nan, cough, vomiting,  vomiting,  cough, chest_pain,  ulcers_on_tongue, ulcers_on_tongue,  chest_pain, acidity,  stomach_pain, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
gastroenteritis,"nausea,  diarrhoea, vomiting,  vomiting,  dehydration, dehydration, diarrhoea,  sunken_eyes, diarrhea, sunken_eyes, fatigue, abdominal cramps, dehydration, watery stool, vomiting, abdominal cramps, dehydration, watery stool, vomiting, sunken_eyes, dehydration, diarrhoea, vomiting, sunken_eyes, dehydration, diarrhoea"
heart attack,"nan,  sweating, vomiting,  vomiting,  breathlessness, breathlessness, sweating, chest_pain,  chest_pain, vomiting, breathlessness, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain, vomiting, breathlessness, sweating, chest_pain"
hepatitis b,"lethargy, yellowing_of_eyes, itching,  receiving_blood_transfusion,  loss_of_appetite,  yellowing_of_eyes,  abdominal_pain, fever,  fatigue, yellowish_skin, yellow_urine, pain, fatigue,  yellowish_skin, dark_urine, malaise, abdominal_pain,  yellow_urine,  malaise, loss_of_appetite,  receiving_unsterile_injections, receiving_blood_transfusion,  dark_urine, receiving_unsterile_injections, lethargy, dark urine, joint pain, loss of appetite, abdominal pain, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections, itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections"
hepatitis c,"yellowish_skin, yellowing_of_eyes, loss_of_appetite, nausea,  family_history,  loss_of_appetite, yellowish_skin, family_history, pain,  yellowing_of_eyes,  fatigue,  nausea, fatigue, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history"
hepatitis d,"yellowing_of_eyes, nan,  joint_pain,  loss_of_appetite,  yellowing_of_eyes,  abdominal_pain,  fatigue,  nausea, nausea, yellowish_skin, fatigue,  yellowish_skin, dark_urine, abdominal_pain, loss_of_appetite, vomiting,  vomiting, joint_pain,  dark_urine, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
hepatitis e,"yellowing_of_eyes, nan,  joint_pain,  loss_of_appetite, stomach_bleeding,  yellowing_of_eyes,  abdominal_pain,  fatigue,  nausea,  high_fever, nausea, yellowish_skin, fatigue,  yellowish_skin,  acute_liver_failure,  coma, dark_urine, high_fever,  stomach_bleeding, abdominal_pain, loss_of_appetite, coma, vomiting,  vomiting, joint_pain,  dark_urine, acute_liver_failure, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding"
hypertension,"loss_of_balance, nan,  dizziness,  lack_of_concentration, lack_of_concentration, dizziness, chest_pain, headache,  chest_pain,  loss_of_balance,  headache"
hyperthyroidism,"sweating,  restlessness, abnormal_menstruation,  mood_swings,  fatigue, muscle_weakness,  abnormal_menstruation,  fast_heart_rate,  muscle_weakness, restlessness, irritability,  diarrhoea, fatigue,  irritability, sweating, weight_loss, excessive_hunger, diarrhoea, fast_heart_rate,  excessive_hunger,  weight_loss, mood_swings, rapid heartbeat, hand tremors, weight loss, sleep problems, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation"
hypoglycemia,"anxiety,  blurred_and_distorted_vision, nan,  sweating, headache,  fatigue,  nausea, drying_and_tingling_lips, nausea, palpitations,  palpitations, irritability,  slurred_speech, fatigue,  irritability, sweating, blurred_and_distorted_vision,  anxiety, excessive_hunger,  drying_and_tingling_lips,  excessive_hunger,  headache, vomiting,  vomiting, slurred_speech, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations"
hypothyroidism,"lethargy, puffy_face_and_eyes, abnormal_menstruation,  depression,  swollen_extremeties,  mood_swings,  fatigue,  abnormal_menstruation,  weight_gain, weight_gain, irritability,  brittle_nails,  enlarged_thyroid,  cold_hands_and_feets, depression, fatigue, swollen_extremeties,  irritability,  dizziness, brittle_nails,  puffy_face_and_eyes, dizziness, enlarged_thyroid, mood_swings, lethargy, cold_hands_and_feets, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation"
impetigo,"yellow_crust_ooze, nan, high_fever,  blister, red_sore_around_nose, blister,  skin_rash, skin_rash, yellow_crust_ooze,  high_fever,  red_sore_around_nose, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze"
jaundice,"yellowish_skin, nan, dark_urine, high_fever, itching, vomiting,  vomiting,  weight_loss, yellowish_skin, weight_loss,  dark_urine, abdominal_pain,  abdominal_pain,  fatigue,  high_fever, fatigue, itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain, itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain"
malaria,"sweating, headache, fever,  nausea,  high_fever, nausea, pain,  diarrhoea, fatigue, muscle_pain, high_fever, sweating,  muscle_pain, body ache, chills, diarrhoea,  headache, vomiting,  vomiting,  chills, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain"
migraine,"Severe throbbing pain on one side of the head, Nausea, Vomiting, Sensitivity to light and sound, Visual disturbances (aura)"
osteoarthristis,"nan, hip_joint_pain, painful_walking,  joint_pain, joint_pain,  painful_walking,  hip_joint_pain, swelling_joints,  knee_pain,  swelling_joints,  neck_pain, knee_pain, neck_pain, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking"
paralysis (brain hemorrhage),"weakness_of_one_body_side, nan, vomiting,  vomiting, headache,  altered_sensorium,  headache, altered_sensorium,  weakness_of_one_body_side, vomiting, headache, weakness_of_one_body_side, altered_sensorium, vomiting, headache, weakness_of_one_body_side, altered_sensorium"
peptic ulcer diseae,"Burning stomach pain, Bloating, Belching, Heartburn, Nausea, Vomiting, Vomiting blood, Black stools, Sharp abdominal pain, Feeling faint"
pneumonia,"chest pain when breathing,  phlegm,  sweating, cough, breathlessness,  cough,  rusty_sputum, fever,  fatigue,  high_fever,  fast_heart_rate, nausea, phlegm, Cough with phlegm or pus, chest_pain, difficulty breathing,  chest_pain, fatigue, high_fever, sweating, malaise, chills, fast_heart_rate,  malaise, vomiting, confusion in older adults,  breathlessness,  chills, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
psoriasis,"skin_peeling, inflammatory_nails, small_dents_in_nails,  inflammatory_nails,  joint_pain, joint_pain,  skin_peeling,  small_dents_in_nails, pain,  silver_like_dusting,  skin_rash, rash, silver_like_dusting, skin_rash, fatigue, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
tuberculosis,"Persistent cough, Coughing up blood or mucus, Chest pain, Fever, Chills, Night sweats, Weight loss, Loss of appetite, Fatigue"
typhoid,"toxic_look_(typhos), nan, headache,  abdominal_pain,  belly_pain,  fatigue,  nausea,  high_fever, nausea,  diarrhoea, fatigue, high_fever, chills, diarrhoea, abdominal_pain,  headache, constipation,  constipation,  toxic_look_(typhos), vomiting,  vomiting,  chills, belly_pain, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
urinary tract infection,"Strong urge to urinate, Burning sensation during urination, Cloudy urine, Pelvic pain, Fever, Fatigue, Back pain"
varicose veins,"Dark purple or blue veins, Twisted and bulging veins, Aching or heavy feeling in legs, Burning or throbbing sensation, Muscle cramping, Swelling in lower legs, Itching around veins, Skin discoloration near veins"
hepatitis a,"yellowing_of_eyes, nan,  mild_fever,  joint_pain,  loss_of_appetite,  yellowing_of_eyes,  abdominal_pain,  nausea, nausea, mild_fever, yellowish_skin,  diarrhoea, muscle_pain,  yellowish_skin, dark_urine,  muscle_pain, diarrhoea, abdominal_pain, loss_of_appetite, vomiting,  vomiting, joint_pain,  dark_urine, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
schizophrenia,"Hallucinations, Delusions, Disorganized speech and thinking, Negative symptoms, Disorganized motor behavior"
kidney stones,"Severe pain in side and back, Pain radiating to abdomen and groin, Pain fluctuating in intensity, Pain or burning sensation during urination, Pink or red urine, Cloudy urine, Persistent need to urinate, Nausea, Vomiting, Fever, Chills"
sarcoma,"lump or swelling, pain, weight loss, fatigue, night sweats"
reactive arthritis,"Joint pain, Stiffness, Swelling, Redness, Decreased range of motion, Fatigue, Fever, Loss of appetite"
kidney cancer,"blood in urine, persistent pain in the back or side, loss of appetite, weight loss, fever"
scleroderma,"Hardening and tightening of the skin, Raynaud's phenomenon, Digestive issues, Shortness of breath, Joint pain and swelling"
chronic obstructive pulmonary disease (copd),"Shortness of breath, Chronic cough with mucus, Wheezing, Chest tightness, Fatigue"
ischemic stroke,"Sudden numbness or weakness on one side of the body, Trouble speaking, Blurred vision, Difficulty walking, Severe headache with dizziness"
peripheral artery disease (pad),"Leg pain when walking (claudication), Muscle cramping, Coldness in the leg or foot, Shiny skin, Slow-growing toenails, Sores on the feet, Weak pulse in the legs"
glaucoma,"Gradual loss of peripheral vision, Tunnel vision, Severe eye pain with nausea, Blurred vision, Halos around lights, Eye redness"
otitis media,"Ear pain, Difficulty hearing, Fluid drainage from the ear, Irritability or difficulty sleeping, Tugging or pulling at the ear, Fever, Headaches, Balance issues"
osteoporosis,"Bone fractures in spine, hip, or wrist, Back pain from fractured vertebra, Loss of height, Stooped posture, Brittle bones"
osteoarthritis,"Joint pain, Stiffness, Swelling, Redness, Decreased range of motion, Fatigue, Fever, Loss of appetite"
panic disorder,"Sudden intense fear, Rapid heart rate, Sweating, Shortness of breath, Chest pain, Nausea, Dizziness, Numbness, Fear of losing control"
burns (minor),"Red skin, Pain and swelling, Blistering, Splotchy appearance"
obsessive-compulsive disorder (ocd),"Intrusive thoughts, Fear of contamination, Need for symmetry, Excessive hand-washing, Checking, Counting, Arranging items"
cardiomyopathy,"Fatigue, Shortness of breath, Swelling (legs, ankles, abdomen), Chest pain, Palpitations"
warts,"Small, grainy bumps on fingers or hands, Rough texture, Black dots (clotted blood vessels)"
hashimoto's thyroiditis,"Fatigue, Weight gain, Constipation, Dry skin, Hair loss, Cold intolerance, Depression, Menstrual irregularity, Joint pain, Muscle cramps"
non-melanoma skin cancer,"New growths, Changes in moles, Itching or bleeding lesions, Red or dark patches"
non-hodgkin's lymphoma,"Swollen lymph nodes (neck, armpits, groin), Fatigue, Fever, Night sweats, Weight loss, Abdominal pain or swelling, Chest pain, Coughing, Difficulty breathing"
myocardial infarction (heart attack),"Chest pain or discomfort, Upper body pain (shoulders, arms, back, neck, jaw), Shortness of breath, Sweating, Nausea, Lightheadedness"
celiac disease,"Diarrhea, Bloating, Gas, Abdominal pain, Nausea, Vomiting, Constipation, Pale stools, Fatigue, Weight loss, Anemia, Osteoporosis, Mouth ulcers, Joint pain, Dermatitis herpetiformis, Numbness, Tingling, Headaches, Cognitive issues"
peptic ulcer,"Burning stomach pain, Bloating, Belching, Heartburn, Nausea, Vomiting, Vomiting blood, Black stools, Sharp abdominal pain, Feeling faint"
graves' disease,"Nervousness, Irritability, Tremor in hands, Weight loss, Increased appetite, Heat sensitivity, Sweating, Warm moist skin, Enlarged thyroid (goiter), Rapid heartbeat, Bulging eyes, Redness, Eye pressure, Blurred vision, Fatigue, Muscle weakness, Sleep disturbances, Thickened skin (Graves' dermopathy)"
scrapes (abrasions),"Mild pain, Burning, Light bleeding, Redness, Skin discoloration, Fluid drainage, Infection symptoms (swelling, pus)"
bipolar disorder,"Manic episodes (high energy, racing thoughts, impulsivity, euphoria), Depressive episodes (hopelessness, fatigue, changes in sleep and appetite), Mixed episodes (simultaneous manic and depressive symptoms)"
bell's palsy,"Sudden facial weakness or paralysis, Facial drooping, Drooling, Difficulty speaking or eating, Jaw or ear pain, Increased sound sensitivity, Headache, Loss of taste, Changes in tear and saliva production"
prostate cancer,"Difficulty urinating, Frequent urination, Pain during urination, Blood in urine or semen, Erectile dysfunction, Bone pain, Unexplained weight loss, Fatigue"
marfan syndrome,"Tall and slender build, Long arms and fingers, Scoliosis, Breastbone abnormalities, Flat feet, Nearsightedness, Lens dislocation, Aortic aneurysm, Aortic dissection, Heart valve issues, Stretch marks"
erectile dysfunction,"Difficulty achieving erection, Difficulty maintaining erection, Reduced sexual desire, Stress, Anxiety"
choking,"Panicked behavior, Difficulty speaking, Frantic coughing, Wheezing, Hands clutching throat, Watery eyes, Red or blue face"
bladder cancer,"Blood in urine, Frequent urination, Painful urination, Lower back pain, Weight loss, Fatigue, Swelling in legs"
pancreatic cancer,"Abdominal pain, Weight loss, Loss of appetite, Jaundice, Dark-colored urine, Light-colored stools, New or worsening diabetes, Fatigue, Weakness"
amyotrophic lateral sclerosis (als),"Muscle weakness, Slurred speech, Muscle cramps, Difficulty walking, Breathing difficulties"
heart failure,"Shortness of breath, Fatigue, Swelling in legs or abdomen, Rapid heartbeat, Persistent cough, Sudden weight gain"
urinary tract infection (uti),"Strong urge to urinate, Burning sensation during urination, Cloudy urine, Pelvic pain, Fever, Fatigue, Back pain"
varicose veins,"Dark purple or blue veins, Twisted and bulging veins, Aching or heavy feeling in legs, Burning or throbbing sensation, Muscle cramping, Swelling in lower legs, Itching around veins, Skin discoloration near veins"
eczema,"Red inflamed skin, Itching, Blisters that ooze, Dry thickened skin, Rashes on face or hands"
seizures,"Loss of awareness, Uncontrollable jerking movements, Emotional changes, Staring spells"
guillain-barré syndrome,"Tingling in legs spreading to upper body, Difficulty speaking or swallowing, Loss of reflexes, Muscle weakness, Breathing difficulties, Severe pain"
allergic reactions (mild),"Itchy skin, Rash, Sneezing, Watery eyes, Runny nose, Swelling of face"
vertigo,"Dizziness (vertigo), Lightheadedness, Loss of balance, Nausea, Vomiting, Blurred vision, Nystagmus (involuntary eye movements)"
cuts,"Bleeding, Pain at wound site, Swelling, Redness, Risk of infection"
whooping cough,"Severe coughing fits, Vomiting after coughing, Exhaustion, Runny nose, Nasal congestion, Mild fever"
gallstones,"Intense abdominal pain, Nausea, Vomiting, Jaundice, Fever, Chills"
emphysema,"Shortness of breath, Chronic cough, Wheezing, Chest tightness, Fatigue"
bipolar disorder,"Manic episodes (high energy, racing thoughts, impulsivity, euphoria), Depressive episodes (hopelessness, fatigue, changes in sleep and appetite), Mixed episodes (simultaneous manic and depressive symptoms)"
cystic fibrosis,"Persistent coughing, Wheezing, Frequent lung infections, Poor growth"
dental cavities,"Toothache, Visible holes, Sensitivity to hot and cold"
deep vein thrombosis (dvt),"Swelling in one leg, Pain when walking, Red skin, Warmth in affected leg"
aortic aneurysm,"Sudden severe chest or back pain, Pain radiating to jaw, neck, or arms, Coughing, Hoarseness, Shortness of breath, Rapid heart rate, Pulsating feeling near navel (for abdominal aortic aneurysm)"
trigeminal neuralgia,"Severe facial pain, Brief intense pain, Triggered by touch or speaking"
esophageal cancer,"Difficulty swallowing, Weight loss, Chest pain, Chronic cough"
endometriosis,"Pelvic pain, Pain during intercourse, Heavy menstrual bleeding, Fatigue, Bloating"
lung disease,"Shortness of breath, Chronic cough, Chest tightness, Wheezing, Fatigue"
skin cancer (general),"New growths, Changes in moles, Itching or bleeding lesions, Red or dark patches"
spinal cord injury,"Loss of movement, Loss of sensation, Pain or stinging, Incontinence, Breathing difficulties"
sprains,"Pain, Swelling, Bruising, Limited movement"
ovarian cancer,"Abdominal pain, Bloating, Difficulty eating, Frequent urination"
sunburn,"Redness, Pain, Swelling, Blistering, Peeling skin"
systemic sclerosis (scleroderma),"Skin thickening, Raynaud's phenomenon, Joint stiffness, Shortness of breath, Digestive issues"
huntington's disease,"Involuntary movements, Cognitive decline, Mood swings, Difficulty speaking, Difficulty swallowing"
hemorrhoids,"Itching, Pain or discomfort, Swelling around anus, Bleeding during bowel movements, Prolapsed hemorrhoids, Thrombosed hemorrhoids, Burning sensation"
aortic dissection,"Severe chest pain, Shortness of breath, Paralysis on one side, Fainting, Dizziness"
hives,"Red, itchy welts on skin, Swelling, Stinging or burning sensation, Bumps of various sizes, Triggered by allergens, Lasts hours or days"
contact dermatitis,"Red rash, Itching, Dry or cracked skin, Blisters, Swelling, Burning sensation"
tetnus,"Muscle stiffness, Lockjaw, Difficulty swallowing, Muscle spasms, Fever, Elevated blood pressure, Rapid heart rate"
chronic obstructive pulmonary disease (copd),"Shortness of breath, Chronic cough with mucus, Wheezing, Chest tightness, Fatigue"
coronary artery disease (cad),"Chest pain or discomfort (angina), Shortness of breath, Fatigue, Nausea, Lightheadedness, Pain in arms, neck, jaw, shoulder, or back, Cold sweats"
aortic aneurysm,"Sudden severe chest or back pain, Pain radiating to jaw, neck, or arms, Coughing, Hoarseness, Shortness of breath, Rapid heart rate, Pulsating feeling near navel (for abdominal aortic aneurysm)"
diarrhea,"Loose, watery stools, Abdominal cramps, Urgent need for bowel movement, Nausea, Bloating, Fever, Dehydration symptoms"
conjunctivitis,"Redness in eyes, Itchy eyes, Watery or thick discharge, Crusting around eyes, Sensitivity to light, Gritty feeling in eyes"
cervical cancer,"Abnormal vaginal bleeding, Watery or bloody vaginal discharge, Pelvic pain, Pain during intercourse, Fatigue, Unintended weight loss, Swelling in the legs"
varicose veins,"Dark purple or blue veins, Twisted and bulging veins, Aching or heavy feeling in legs, Burning or throbbing sensation, Muscle cramping, Swelling in lower legs, Itching around veins, Skin discoloration near veins"
sinus infection,"Thick yellow or green mucus, Nasal congestion, Pain or pressure in forehead, cheeks, or eyes, Headache, Fatigue, Cough, Bad breath"
gonorrhea,"nan, sexually transmitted infection that can cause burning during urination,discharge from the penis or vagina,pain in the lower abdomen"
asperger syndrome,"nan, difficulty with social interaction,repetitive behaviors,restricted interests"
anxiety disorder,"nan, excessive worry,fear,anxiety that interfere with daily life"
acanthamoebkeratitis,"nan, pain,redness,inflammation in the eye"
fibromyalgi,"nan, widespread pain,fatigue,tenderness"
poisoning (ingested),"Nausea, Vomiting, Abdominal pain, Difficulty breathing, Dizziness, Confusion, Seizures, Unconsciousness"
fibromyalgia,"Widespread muscle pain, Fatigue, Sleep disturbances, Memory problems, Headaches, Sensitivity to light and noise"
ulcerative colitis,"Abdominal pain, Cramping, Diarrhea with blood, Rectal pain, Fatigue, Urgency to defecate, Weight loss"
restless legs syndrome (rls),"Uncontrollable urge to move legs, Tingling or burning sensation, Symptoms worse at night, Relief with movement, Disrupted sleep, Fatigue during the day"
rubella (german measles),"Mild fever, Rash on face spreading, Swollen lymph nodes, Runny nose, Red eyes, Muscle pain"
scabies,"Intense itching, Burrow tracks, Small blisters or pimples, Rash, Sores from scratching, Scaling skin"
strains,"Pain in muscle, Swelling, Bruising, Muscle weakness, Difficulty moving, Stiffness, Spasms"
arrhythmia,"Irregular heartbeats, Shortness of breath, Chest pain, Dizziness, Fatigue, Fainting"
atopic dermatitis,"Dry, scaly skin, Itching, Red patches, Small raised bumps, Thickened or cracked skin, Raw or swollen skin"
stomach cancer,"Indigestion, Loss of appetite, Nausea, Bloating after eating, Unexplained weight loss, Blood in stool or vomit, Fatigue"
yeast infection,"Itching in vulva, Redness and swelling, Pain during intercourse or urination, Thick white discharge, Burning sensation"
rheumatoid arthritis,"Joint pain, Tenderness, Morning stiffness, Fatigue, Fever, Loss of appetite, Joint stiffness, Rheumatoid nodules, Reduced range of motion"
insect bites and stings,"Redness and swelling, Itching, Hives, Difficulty breathing, Blistering, Nausea and vomiting (severe)"
colon cancer,"Changes in bowel habits, Blood in stool, Unexplained weight loss, Fatigue, Abdominal pain, Bloating, Feeling of incomplete bowel movement"
herpes,"nan, sexually transmitted infection that can cause blisters on the genitals,mouth,other parts of the body"
dermatomyositis,"Muscle weakness, Skin rash, Fatigue, Difficulty swallowing, Muscle pain, Joint stiffness, Weight loss"
hypertension (high blood pressure),"Headaches, Dizziness, Blurred vision, Fatigue, Nosebleeds, Chest pain, Shortness of breath"
